No.|Object Name|RA|DEC|Type|Velocity|Redshift|Redshift Flag|Magnitude and Filter|Separation|References|Notes|Photometry Points|Positions|Redshift Points|Diameter Points|Associations
19887|WISEA J120305.16+012841.6|180.77153 |   1.47823 |G|  5786| 0.019300 |SUN |19.46|  0.000|7|0|25|8|3|0|0
19888|WISEA J120305.24+010012.9|180.77186 |   1.00358 |G| 23536| 0.078508 |SLS |17.1g|  0.000|21|0|63|8|8|10|0
19889|WISEA J120305.27-042051.4|180.77198 |  -4.34761 |G| 26562| 0.088600 |SUN |18.48|  0.000|2|0|19|4|1|0|0
19890|WISEA J120305.31+074852.0|180.77216 |   7.81445 |G|  9834| 0.032803 |SLS |17.5g|  0.000|14|0|33|7|4|4|0
19891|WISEA J120306.14-020144.5|180.77559 |  -2.02903 |G| 29756| 0.099255 |SUN |19.45|  0.000|2|0|34|5|2|4|0
19892|SDSS J120306.22+001820.0|180.77594 |   0.30557 |G| 25924| 0.086472 |SLS |21.8g|  0.000|0|0|15|2|1|4|0
19893|WISEA J120306.45-040828.2|180.77688 |  -4.14117 |G| 26937| 0.089853 |SUN |17.84|  0.000|2|0|25|6|2|0|0
19894|WISEA J120306.60+095745.0|180.77751 |   9.96251 |G| 18393| 0.061352 |SLS |17.9g|  0.000|11|0|57|6|3|8|0
19895|WISEA J120306.82+051027.8|180.77842 |   5.17440 |G| 11467| 0.038250 |IFO |     |  0.000|2|0|12|2|1|0|0
19896|WISEA J120306.91-095857.6|180.77883 |  -9.98269 |G| 28369| 0.094629 |SLS |17.4b|  0.000|1|0|27|4|3|2|0
19897|WISEA J120307.04-043111.4|180.77935 |  -4.51984 |G| 25273| 0.084300 |SUN |19.04|  0.000|1|0|17|4|1|0|0
19898|SDSS J120307.62+063810.7|180.78177 |   6.63632 |G| 22591| 0.075356 |SLS |17.8g|  0.000|12|0|35|3|3|8|0
19899|LCRS B120033.8-063230|180.78189 |  -6.82018 |G| 10131| 0.033793 |PUN |15.80|  0.000|2|0|33|7|1|2|0
19900|SDSS J120307.68+004112.3|180.78226 |   0.68695 |G| 25061| 0.083593 |SLS |17.9g|  0.000|8|0|16|5|3|4|0
19901|GAMA 536158|180.78309 |  -0.94418 |G| 25091| 0.083696 |SLS |19.1r|  0.000|2|0|1|3|1|0|0
19902|WISEA J120307.96+030600.8|180.78319 |   3.10025 |G| 25618| 0.085451 |SLS |17.9g|  0.000|13|0|32|4|4|4|0
19903|WISEA J120308.00-000402.3|180.78335 |  -0.06731 |G| 22565| 0.075269 |SLS |17.8g|  0.000|19|0|60|12|9|8|0
19904|SDSS J120308.05+060436.7|180.78355 |   6.07688 |G|  5754| 0.019193 |SUN |20.5g|  0.000|1|0|15|2|1|4|1
19905|WISEA J120308.10-012924.0|180.78379 |  -1.49002 |G| 24640| 0.082191 |SLS |18.5g|  0.000|14|0|61|9|4|8|0
19906|LCRS B120034.4-063529|180.78402 |  -6.86979 |G| 16231| 0.054142 |PUN |15.98|  0.000|1|0|29|6|1|2|0
19907|WISEA J120308.17-010137.8|180.78412 |  -1.02705 |G| 27761| 0.092601 |SLS |20.3g|  0.000|2|0|31|4|1|4|0
19908|WISEA J120308.73+005933.5|180.78636 |   0.99264 |G| 23592| 0.078694 |SLS |19.55|  0.000|3|0|36|6|1|4|0
19909|WISEA J120308.95+013431.4|180.78730 |   1.57540 |G| 23324| 0.077800 |SUN |18.95|  0.000|3|0|21|6|1|0|0
19910|WISEA J120309.07-035140.2|180.78782 |  -3.86117 |G| 14402| 0.048041 |SUN |19.33|  0.000|1|0|21|5|2|0|0
19911|WISEA J120309.11-035204.2|180.78799 |  -3.86785 |G| 14390| 0.048000 |SUN |19.12|  0.000|1|0|21|5|1|0|0
19912|WISEA J120309.29+091133.3|180.78872 |   9.19260 |G| 18615| 0.062094 |SLS |17.8g|  0.000|12|0|51|5|3|8|0
19913|WISEA J120309.30-023545.4|180.78878 |  -2.59585 |G| 24733| 0.082500 |SUN |19.34|  0.000|2|0|32|5|1|4|0
19914|WISEA J120309.52-022535.5|180.78970 |  -2.42654 |G| 29141| 0.097204 |SLS |18.4g|  0.000|16|0|54|7|3|8|0
19915|WISEA J120309.62-013149.2|180.79010 |  -1.53035 |G| 24614| 0.082105 |SLS |18.4g|  0.000|14|0|62|9|4|8|0
19916|WISEA J120309.65-013932.7|180.79020 |  -1.65909 |G| 24793| 0.082700 |SUN |19.65|  0.000|4|0|36|6|1|4|0
19917|WISEA J120309.85+013301.1|180.79108 |   1.55032 |G| 23476| 0.078306 |SLS |17.8g|  0.000|21|0|55|7|4|8|1
19918|WISEA J120309.92+001909.3|180.79134 |   0.31926 |G| 25916| 0.086446 |SLS |17.0g|  0.000|21|0|72|13|10|10|0
19919|WISEA J120310.20+013447.9|180.79254 |   1.58000 |G| 23522| 0.078461 |SLS |17.4g|  0.000|23|0|72|10|7|10|0
19920|LCRS B120036.4-064010|180.79264 |  -6.94795 |G| 14001| 0.046703 |PUN |15.74|  0.000|1|0|33|7|1|2|0
19921|WISEA J120310.45+034037.6|180.79358 |   3.67712 |G| 29776| 0.099321 |SLS |18.4g|  0.000|4|0|49|5|4|8|0
19922|LCRS B120036.7-024459|180.79383 |  -3.02831 |G| 23447| 0.078211 |SLS |17.3g|  0.000|10|0|40|8|4|6|0
19923|WISEA J120310.60+021731.9|180.79420 |   2.29220 |G| 12257| 0.040884 |SLS |17.6g|  0.000|14|0|61|7|4|8|0
19924|CGCG 013-048|180.79458 |  -2.87598 |G| 15652| 0.052211 |SLS |15.4g|  0.000|38|0|70|17|14|10|0
19925|WISEA J120310.88-025409.6|180.79525 |  -2.90266 |G| 15919| 0.053100 |SUN |18.48|  0.000|2|0|32|5|1|4|1
19926|WISEA J120311.80+010754.3|180.79927 |   1.13167 |G| 24893| 0.083035 |SLS |20.7g|  0.000|0|0|31|4|1|4|0
19927|WISEA J120312.11-012918.3|180.80046 |  -1.48842 |G| 24685| 0.082339 |SLS |17.1g|  0.000|27|0|68|9|6|10|0
19928|WISEA J120312.35-001753.7|180.80156 |  -0.29832 |G| 28253| 0.094241 |SLS |19.6g|  0.000|2|0|32|5|1|4|0
19929|WISEA J120312.66-040807.8|180.80278 |  -4.13552 |G| 25692| 0.085700 |SUN |19.46|  0.000|1|0|27|6|1|0|0
19930|WISEA J120312.72+004537.7|180.80287 |   0.76008 |G| 25011| 0.083429 |SLS |20.6g|  0.000|0|0|35|5|1|4|0
19931|WISEA J120312.84+015126.0|180.80348 |   1.85687 |G| 10193| 0.034000 |SUN |17.9g|  0.000|5|0|36|7|2|4|0
19932|WISEA J120313.06+062047.3|180.80444 |   6.34649 |G| 11327| 0.037784 |SLS |18.5g|  0.000|4|0|47|4|3|8|0
